,kcat,data_type,MW,kcat_MW
rxn04809,3263.707670150933,fill,32970,356364.8047480546
rxn04810,3263.707670150933,fill,32970,356364.8047480546
rxn04811,3263.707670150933,fill,32970,356364.8047480546
rxn04830,3263.707670150933,fill,32970,356364.8047480546
rxn04831,3263.707670150933,fill,32970,356364.8047480546
rxn04832,3263.707670150933,fill,32970,356364.8047480546
rxn04833,3263.707670150933,fill,32970,356364.8047480546
rxn04872,3263.707670150933,fill,32970,356364.8047480546
rxn04873,3263.707670150933,fill,32970,356364.8047480546
rxn04886,3263.707670150933,fill,32970,356364.8047480546
rxn04887_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04894,3263.707670150933,fill,32970,356364.8047480546
rxn04895,3263.707670150933,fill,32970,356364.8047480546
rxn04896,3263.707670150933,fill,32970,356364.8047480546
rxn04903,3263.707670150933,fill,32970,356364.8047480546
rxn04916,3263.707670150933,fill,32970,356364.8047480546
rxn04919,3263.707670150933,fill,32970,356364.8047480546
rxn04996,2.64,Other_species,36504,260.35502958579883
rxn05005_num1,3263.707670150933,fill,51585,227766.74639029484
rxn05006_num1,3263.707670150933,fill,51585,227766.74639029484
rxn05031_num1,3263.707670150933,fill,32577,360663.8920877724
rxn05070,0.0028037904999999998,Brenda_SA,74109.0,0.1362
rxn05116,3263.707670150933,fill,70906,165703.1508270578
rxn05239,3263.707670150933,fill,28262.0,415729.5171093114
rxn05293,3263.707670150933,fill,39941,294167.5875051541
rxn05330,0.1,Other_species,17271,20.844189682126107
rxn05331,0.1,Other_species,17271,20.844189682126107
rxn05332,3263.707670150933,fill,17271,680293.4174363592
rxn05334,3263.707670150933,fill,17271,680293.4174363592
rxn05335,0.1,Other_species,17271,20.844189682126107
rxn05814,3263.707670150933,fill,24760,474529.3866132213
rxn05872_num1,3263.707670150933,fill,36122,325268.4683169082
rxn05882,121.75,Database,243704,1798.4932541115452
rxn06023,1.0254999999999999,Other_species,14639,252.18935719652978
rxn06099,3263.707670150933,fill,76906,152775.43510965802
rxn06280,3263.707670150933,fill,90028,130507.70440911005
rxn06300,3263.707670150933,fill,97115,120983.8605008841
rxn06434,3263.707670150933,fill,132916,88396.78904378224
rxn06435,3263.707670150933,fill,58524,200761.18536913677
rxn06437,3263.707670150933,fill,106453.0,110371.22122010052
rxn06438,3263.707670150933,fill,66094.0,177767.2347345199
rxn06440,3263.707670150933,fill,106263,110568.56678753055
rxn06441,3263.707670150933,fill,95428,123122.64338080396
rxn06444,3263.707670150933,fill,250898.0,46829.18003548597
rxn06445,3263.707670150933,fill,100628,116760.2219317025
rxn06446,3263.707670150933,fill,95460,123081.37033881583
rxn06447,3263.707670150933,fill,149746,78461.84614309136
rxn06449,3263.707670150933,fill,100416,117006.72813638623
rxn06538,3263.707670150933,fill,32483,361707.5889709497
rxn06673,3263.707670150933,fill,34268.0,342866.4530332485
rxn06936,3263.707670150933,fill,132916,88396.78904378224
rxn06937_num1,3263.707670150933,fill,53893,218012.4990730403
rxn07100,3263.707670150933,fill,38866,302304.0089678217
rxn07181,3263.707670150933,fill,32970,356364.8047480546
rxn07261,3263.707670150933,fill,38866,302304.0089678217
rxn07312,0.016666666666666666,Other_species,67172,0.8932293217412017
rxn07670,3263.707670150933,fill,147309,79759.87626379488
rxn07672,3263.707670150933,fill,147309,79759.87626379488
rxn07673,3263.707670150933,fill,147309,79759.87626379488
rxn07720,3263.707670150933,fill,147309,79759.87626379488
rxn07721,3263.707670150933,fill,147309,79759.87626379488
rxn07734,3263.707670150933,fill,147309,79759.87626379488
rxn07976,3263.707670150933,fill,17271,680293.4174363592
rxn07977,3263.707670150933,fill,17271,680293.4174363592
rxn07978,3263.707670150933,fill,17271,680293.4174363592
rxn07979,3263.707670150933,fill,17271,680293.4174363592
rxn07980,3263.707670150933,fill,17271,680293.4174363592
rxn08131,3263.707670150933,fill,133772,87831.14263480669
rxn08136,3263.707670150933,fill,39563,296978.17689617473
rxn08173,3263.707670150933,fill,107439.0,109358.31134451512
rxn08180,3263.707670150933,fill,72526,162001.8698472735
rxn08352,2.64,Other_species,36504,260.35502958579883
rxn08438,3263.707670150933,fill,24589,477829.420169318
rxn08459,3263.707670150933,fill,131647.0,89248.8823333867
rxn08521,3263.707670150933,fill,62886,186835.66473528862
rxn08546,3263.707670150933,fill,97452.0,120565.48467495135
rxn08547,3263.707670150933,fill,97452.0,120565.48467495135
rxn08548,3263.707670150933,fill,97452.0,120565.48467495135
rxn08549,3263.707670150933,fill,97452.0,120565.48467495135
rxn08550,3263.707670150933,fill,97452.0,120565.48467495135
rxn08551,3263.707670150933,fill,97452.0,120565.48467495135
rxn08552,3263.707670150933,fill,97452.0,120565.48467495135
rxn08756,2.64,Other_species,36504,260.35502958579883
rxn09115,3263.707670150933,fill,47872.0,245432.56209356952
rxn09197,3263.707670150933,fill,26959,435822.8277214793
rxn09198,3263.707670150933,fill,26959,435822.8277214793
rxn09199,3263.707670150933,fill,26959,435822.8277214793
rxn09200,3263.707670150933,fill,26959,435822.8277214793
rxn09201,3263.707670150933,fill,26959,435822.8277214793
rxn09202,3263.707670150933,fill,26959,435822.8277214793
rxn09203,3263.707670150933,fill,26959,435822.8277214793
rxn09240,3263.707670150933,fill,35395.0,331949.3604334895
rxn09310_num1,3263.707670150933,fill,108508.0,108280.93424027131
rxn09345,1.3022444444444445,Other_species,55430,84.57658307775573
rxn09562,3263.707670150933,fill,24760,474529.3866132213
rxn10052,3263.707670150933,fill,24528,479017.75980688847
rxn10060,3263.707670150933,fill,29048,404480.4328195869
rxn10202,3263.707670150933,fill,97452.0,120565.48467495135
rxn10203,3263.707670150933,fill,97452.0,120565.48467495135
rxn10204,3263.707670150933,fill,97452.0,120565.48467495135
rxn10205,3263.707670150933,fill,97452.0,120565.48467495135
rxn10206,3263.707670150933,fill,97452.0,120565.48467495135
rxn10207,3263.707670150933,fill,97452.0,120565.48467495135
rxn10208,3263.707670150933,fill,97452.0,120565.48467495135
rxn10209,3263.707670150933,fill,97452.0,120565.48467495135
rxn10210,3263.707670150933,fill,97452.0,120565.48467495135
rxn10232,3263.707670150933,fill,26959,435822.8277214793
rxn10233,3263.707670150933,fill,26959,435822.8277214793
rxn10234,3263.707670150933,fill,26959,435822.8277214793
rxn10235,3263.707670150933,fill,26959,435822.8277214793
rxn10236,3263.707670150933,fill,26959,435822.8277214793
rxn10237,3263.707670150933,fill,26959,435822.8277214793
rxn10902,5.4,Other_species,53859,360.94246087004956
rxn10996,3263.707670150933,fill,147309,79759.87626379488
rxn11663,3263.707670150933,fill,70906,165703.1508270578
rxn11749,3263.707670150933,fill,62886,186835.66473528862
rxn11808_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn11809_num1,3263.707670150933,fill,80290,146336.3757945368
rxn12154,3263.707670150933,fill,32970,356364.8047480546
rxn12197,3263.707670150933,fill,76906,152775.43510965802
rxn12510,23.706222222222223,Other_species,59414,1436.4021947689098
rxn13394,3263.707670150933,fill,243704,48211.55012861241
rxn14294,0.02975,Other_species,153328,0.6985025566106647
rxn30018,12720.99,Database,58575,781827.8104993597
rxn39451,3263.707670150933,fill,26772,438867.01077780366
rxn39452,3263.707670150933,fill,26772,438867.01077780366
rxn39829,0.05405,Other_species,16671,11.671765341011337
SacB,3263.707670150933,fill,46762,251258.44943636627
SacC,3263.707670150933,fill,46100,254866.54257143947
LIPOS,3263.707670150933,fill,35662,329464.0685475677
rxn00076,14.2877,Other_species,82191,625.8072051684491
rxn00097_reverse_num1,3263.707670150933,fill,24528,479017.75980688847
rxn00119_reverse,3263.707670150933,fill,157890,74414.76732246095
rxn00124_reverse,0.944,Other_species,36738,92.50367466927976
rxn00179_reverse,12.25,Other_species,42509,1037.4273683220024
rxn00224_reverse,3263.707670150933,fill,37426,313935.43559406186
rxn00239_reverse,334.64,Other_species,24760,48655.250403877224
rxn00285_reverse,3263.707670150933,fill,84042.0,139803.28422150068
rxn00328_reverse,9.8,Other_species,64515,546.8495698674727
rxn00459_reverse,66.2408972972973,Other_species,365944,651.6495154183981
rxn00461_reverse,3.2818181818181817,Other_species,44755,263.98269365535594
rxn00543_reverse_num1,147.9902857142857,Other_species,80290,6635.509136522961
rxn00544_reverse,121.75,Database,243704,1798.4932541115452
rxn00555_reverse,3263.707670150933,fill,131976,89026.39580335334
rxn00558_reverse,3263.707670150933,fill,55399,212085.91513462987
rxn00604_reverse,326.9590909090909,Other_species,53859,21854.336828992877
rxn00678_reverse,999.0,Other_species,415800,8649.35064935065
rxn00692_reverse,3263.707670150933,fill,91626,128231.58942378101
rxn00781_reverse,3263.707670150933,fill,144408,81362.16561785607
rxn00798_reverse,3263.707670150933,fill,23205,506328.2746194079
rxn00802_reverse,230.47744444444444,Other_species,51079,16243.83406096439
rxn00859_reverse,8.039,Other_species,46339,624.5365674701656
rxn00907_reverse,3263.707670150933,fill,62886,186835.66473528862
rxn00912_reverse_num1,3263.707670150933,fill,292310,40194.81924170695
rxn01100_reverse,266.0777625433699,Other_species,41388,23143.90512119773
rxn01106_reverse,3263.707670150933,fill,51876,226489.08189805227
rxn01300_reverse,21.92142857142857,Other_species,36738,2148.106670399664
rxn01396_reverse,9.890214285714286,Other_species,36738,969.1537761601458
rxn01485_reverse,1.5664,Other_species,47895,117.73755089257752
rxn01530_reverse_num1,0.02,Other_species,36122,1.9932451137810752
rxn01547_reverse,1.753,Other_species,28300,222.9964664310954
rxn01641_reverse,0.0088,Other_species,32483,0.9752793769048427
rxn01682_reverse_num1,2.8,Other_species,57676.0,174.76940148415287
rxn01739_reverse,65.87383333333334,Other_species,19609,12093.722270386048
rxn01790_reverse,3.485,Other_species,36575,343.0211893369788
rxn01807_reverse,9.85292857142857,Other_species,36738,965.5001049905507
rxn01917_reverse,63.46666666666667,Other_species,31710,7205.298013245033
rxn01974_reverse,106.0,Other_species,58594,6512.6122128545585
rxn02159_reverse,3263.707670150933,fill,46339,253552.03203658602
rxn02181_reverse,96.0,Other_species,65392,5285.050159040861
rxn02182_reverse,173.66666666666666,Other_species,51079,12239.863740480432
rxn02186_reverse,3263.707670150933,fill,36575,321239.85270111717
rxn02229_reverse,3263.707670150933,fill,72526,162001.8698472735
rxn02283_reverse,3263.707670150933,fill,32483,361707.5889709497
rxn02285_reverse,30.20769230769231,Other_species,33905,3207.4234569441765
rxn02342_reverse,3263.707670150933,fill,88487.0,132780.49445165234
rxn02362_reverse,3263.707670150933,fill,41369,284013.3339588426
rxn02391_reverse,3263.707670150933,fill,47895,245314.70117012964
rxn02476_reverse,18.7400089,Other_species,47788,1411.7358341006109
rxn02508_reverse,30.3,Other_species,23205,4700.7110536522305
rxn02789_reverse_num1,3263.707670150933,fill,21336,550681.8341087064
rxn02811_reverse_num1,3263.707670150933,fill,21336,550681.8341087064
rxn02835_reverse,4.2175,Other_species,39999.0,379.5844896122403
rxn02962_reverse_num1,3263.707670150933,fill,51585,227766.74639029484
rxn03062_reverse,3263.707670150933,fill,75456,155711.24380491095
rxn03063_reverse,0.00895967,Other_species,67172,0.4801823974274995
rxn03068_reverse,3263.707670150933,fill,36575,321239.85270111717
rxn03080_reverse,0.04652222222222222,Other_species,14861,11.269766502927125
rxn03175_reverse,7.91625,Other_species,26147,1089.9338356216774
rxn03282_reverse_num1,3263.707670150933,fill,36122,325268.4683169082
rxn03408_reverse,3263.707670150933,fill,42380,277238.02766737517
rxn03435_reverse,3263.707670150933,fill,36575,321239.85270111717
rxn03884_reverse,645150.0,Brenda_SA,64515,36000000.0
rxn03903_reverse,3263.707670150933,fill,38866,302304.0089678217
rxn03904_reverse,5.3149999999999995,Other_species,38866,492.30690063294395
rxn03910_reverse,2.3333333333333335,Other_species,41369,203.050593439532
rxn03933_reverse,3263.707670150933,fill,42380,277238.02766737517
rxn03951_reverse,3263.707670150933,fill,70906,165703.1508270578
rxn03958_reverse,27207.7,Brenda_SA,83716,1170000.0
rxn04726_reverse_num1,3263.707670150933,fill,80290,146336.3757945368
rxn04757_reverse,3263.707670150933,fill,51876,226489.08189805227
rxn04760_reverse,3263.707670150933,fill,51876,226489.08189805227
rxn04809_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04810_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04811_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04830_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04831_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04832_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04833_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04872_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04873_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04886_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04894_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04895_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04896_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04903_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04916_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn04919_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn05005_reverse_num1,3263.707670150933,fill,51585,227766.74639029484
rxn05006_reverse_num1,3263.707670150933,fill,51585,227766.74639029484
rxn05330_reverse,0.1,Other_species,17271,20.844189682126107
rxn05331_reverse,0.1,Other_species,17271,20.844189682126107
rxn05332_reverse,3263.707670150933,fill,17271,680293.4174363592
rxn05334_reverse,3263.707670150933,fill,17271,680293.4174363592
rxn05335_reverse,0.1,Other_species,17271,20.844189682126107
rxn05814_reverse,3263.707670150933,fill,24760,474529.3866132213
rxn05872_reverse_num1,3263.707670150933,fill,36122,325268.4683169082
rxn07100_reverse,3263.707670150933,fill,38866,302304.0089678217
rxn07181_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn07261_reverse,3263.707670150933,fill,38866,302304.0089678217
rxn07312_reverse,0.016666666666666666,Other_species,67172,0.8932293217412017
rxn07672_reverse,3263.707670150933,fill,147309,79759.87626379488
rxn07673_reverse,3263.707670150933,fill,147309,79759.87626379488
rxn07720_reverse,3263.707670150933,fill,147309,79759.87626379488
rxn07976_reverse,3263.707670150933,fill,17271,680293.4174363592
rxn07977_reverse,3263.707670150933,fill,17271,680293.4174363592
rxn07978_reverse,3263.707670150933,fill,17271,680293.4174363592
rxn07979_reverse,3263.707670150933,fill,17271,680293.4174363592
rxn07980_reverse,3263.707670150933,fill,17271,680293.4174363592
rxn08173_reverse,3263.707670150933,fill,107439.0,109358.31134451512
rxn08521_reverse,3263.707670150933,fill,62886,186835.66473528862
rxn09345_reverse,1.3022444444444445,Other_species,55430,84.57658307775573
rxn09562_reverse,3263.707670150933,fill,24760,474529.3866132213
rxn10052_reverse,3263.707670150933,fill,24528,479017.75980688847
rxn10902_reverse,5.4,Other_species,53859,360.94246087004956
rxn11749_reverse,3263.707670150933,fill,62886,186835.66473528862
rxn11809_reverse_num1,3263.707670150933,fill,80290,146336.3757945368
rxn12154_reverse,3263.707670150933,fill,32970,356364.8047480546
rxn12510_reverse,23.706222222222223,Other_species,59414,1436.4021947689098
rxn14294_reverse,0.02975,Other_species,153328,0.6985025566106647
LIPOS_reverse,3263.707670150933,fill,35662,329464.0685475677
rxn00011_num4,4.538555555555555,Other_species,88487.0,184.646332229593
rxn00193_num2,4810.05844,Other_species,58594,295528.7296310202
rxn00337_num2,20.913636363636364,Other_species,31710,2374.3011954932485
rxn00410_num2,3263.707670150933,fill,182812,64270.111439858214
rxn00412_num2,7.9591111111111115,Other_species,182812,156.73369363061505
rxn00470_num2,61.04074074074074,Other_species,90498,2428.193624905154
rxn00493_num3,3263.707670150933,fill,80684.0,145621.7789467969
rxn00500_num2,170.0,Other_species,36496,16768.960982025426
rxn00527_num8,3263.707670150933,fill,80684.0,145621.7789467969
rxn00543_num2,147.9902857142857,Other_species,36122,14749.045694353263
rxn00547_num2,3263.707670150933,fill,32609,360309.96389166673
rxn00704_num2,3263.707670150933,fill,47895,245314.70117012964
rxn00763_num2,3263.707670150933,fill,80290,146336.3757945368
rxn00763_num3,3263.707670150933,fill,36122,325268.4683169082
rxn00776_num2,0.007776666666666667,Other_species,34862.0,0.8030520337330044
rxn00912_num2,3263.707670150933,fill,317840,36966.23336440775
rxn01137_num2,26.687083333333334,Other_species,37881,2536.192286370476
rxn01225_num3,112.23333333333333,Other_species,37881,10666.033103666747
rxn01270_num2,95.30000000000001,Other_species,80684,4252.144167368996
rxn01303_num2,14.218,Other_species,86264,593.3506445330613
rxn01368_num2,4.824999999999999,Other_species,62886,276.21410170785225
rxn01486_num2,1.30925,Other_species,32577,144.68183073947878
rxn01489_num2,3263.707670150933,fill,32577,360663.8920877724
rxn01519_num2,3263.707670150933,fill,29096,403813.1568787242
rxn01530_num2,0.02,Other_species,80290,0.896749283846058
rxn01607_num2,80.5,Other_species,32609,8887.117053574166
rxn01800_num2,4.383333333333333,Other_species,62886,250.93025474668445
rxn02230_num2,354.759,Other_species,72526,17609.304249510522
rxn02320_num3,106.8181666675,Other_species,80684.0,4766.067621870507
rxn02789_num2,3263.707670150933,fill,51813,226764.4724787864
rxn02789_num3,3263.707670150933,fill,73149.0,160622.122141702
rxn02811_num2,3263.707670150933,fill,51813,226764.4724787864
rxn02811_num3,3263.707670150933,fill,73149.0,160622.122141702
rxn02945_num2,3263.707670150933,fill,32577,360663.8920877724
rxn03282_num2,3263.707670150933,fill,80290,146336.3757945368
rxn03333_num2,0.33453,Other_species,36122,33.34001439565915
rxn03333_num3,0.33453,Other_species,80290,14.999476896251089
rxn03907_num2,35.965,Other_species,41369,3129.734825594044
rxn03909_num2,5.983333333333333,Other_species,141028,152.73562696769437
rxn04726_num2,3263.707670150933,fill,36122,325268.4683169082
rxn04736_num2,3263.707670150933,fill,80290,146336.3757945368
rxn04736_num3,3263.707670150933,fill,36122,325268.4683169082
rxn04908_num2,3263.707670150933,fill,80290,146336.3757945368
rxn04908_num3,3263.707670150933,fill,36122,325268.4683169082
rxn05023_num2,24.988333333333333,Other_species,16241,5538.944646265624
rxn05871_num2,3263.707670150933,fill,36122,325268.4683169082
rxn05871_num3,3263.707670150933,fill,80290,146336.3757945368
rxn05872_num2,3263.707670150933,fill,80290,146336.3757945368
rxn06874_num3,3263.707670150933,fill,64104,183285.71715561213
rxn06937_num2,3263.707670150933,fill,50635,232040.0436959289
rxn08103_num2,3263.707670150933,fill,91626,128231.58942378101
rxn09310_num2,3263.707670150933,fill,108508.0,108280.93424027131
rxn09310_num3,3263.707670150933,fill,108508.0,108280.93424027131
rxn11809_num2,3263.707670150933,fill,36122,325268.4683169082
rxn11834_num2,3263.707670150933,fill,80290,146336.3757945368
rxn11834_num3,3263.707670150933,fill,36122,325268.4683169082
rxn11838_num2,3263.707670150933,fill,80290,146336.3757945368
rxn11838_num3,3263.707670150933,fill,36122,325268.4683169082
rxn14054_num2,3263.707670150933,fill,36122,325268.4683169082
rxn14054_num3,3263.707670150933,fill,80290,146336.3757945368
rxn14089_num2,3263.707670150933,fill,80290,146336.3757945368
rxn14089_num3,3263.707670150933,fill,36122,325268.4683169082
rxn36708_num2,3263.707670150933,fill,36496,321935.2151617536
rxn00193_reverse_num2,4810.05844,Other_species,58594,295528.7296310202
rxn00337_reverse_num2,20.913636363636364,Other_species,31710,2374.3011954932485
rxn00493_reverse_num3,3263.707670150933,fill,80684.0,145621.7789467969
rxn00500_reverse_num2,170.0,Other_species,36496,16768.960982025426
rxn00527_reverse_num8,3263.707670150933,fill,80684.0,145621.7789467969
rxn00543_reverse_num2,147.9902857142857,Other_species,36122,14749.045694353263
rxn00547_reverse_num2,3263.707670150933,fill,32609,360309.96389166673
rxn00763_reverse_num2,3263.707670150933,fill,80290,146336.3757945368
rxn00763_reverse_num3,3263.707670150933,fill,36122,325268.4683169082
rxn00912_reverse_num2,3263.707670150933,fill,317840,36966.23336440775
rxn01270_reverse_num2,95.30000000000001,Other_species,80684,4252.144167368996
rxn01530_reverse_num2,0.02,Other_species,80290,0.896749283846058
